City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,holualoa,19.6228,-155.9522,20.43,72,20,3.6,US,1707157000
151,mana,5.6592,-53.7767,28.72,73,71,5.12,GF,1707157001
152,ghat,24.9647,10.1728,14.62,28,1,3.13,LY,1707157002
153,laredo,27.5064,-99.5075,19.16,37,0,8.75,US,1707156984
154,bathsheba,13.2167,-59.5167,29.34,79,20,7.72,BB,1707157002
155,fort mcmurray,56.7268,-111.381,-12.23,78,0,4.12,CA,1707156941
156,chimbote,-9.0853,-78.5783,27.18,67,89,3.56,PE,1707157003
157,inhambane,-23.865,35.3833,25.41,83,13,4.35,MZ,1707157003
158,east london,-33.0153,27.9116,23.52,83,0,2.06,ZA,1707156908
159,westport,41.1415,-73.3579,7.93,33,0,4.12,US,1707156951
160,lima,-12.0432,-77.0282,28.14,58,0,5.66,PE,1707156829
161,port alfred,-33.5906,26.891,22.73,91,0,1.83,ZA,1707156838
162,pinsk,52.1229,26.0951,1.21,72,77,7.75,BY,1707157004
163,iskateley,67.6803,53.1512,-18.88,97,100,1.79,RU,1707157004
164,happy valley-goose bay,53.3168,-60.3315,-10.83,67,75,1.03,CA,1707157004
165,yuzhno-kurilsk,44.0306,145.8556,-5.9,60,79,8.41,RU,1707156968
166,chonchi,-42.6128,-73.8092,23.51,43,19,1.79,CL,1707157005
167,kenai,60.5544,-151.2583,-9.97,85,75,5.14,US,1707157005
168,lompoc,34.6391,-120.4579,16.68,62,100,4.63,US,1707156746
169,medianeira,-25.2953,-54.0939,33.19,38,42,1.62,BR,1707157006
170,cabo san lucas,22.8909,-109.9124,28.12,45,0,1.03,MX,1707156950
171,carnarvon,-24.8667,113.6333,27.69,40,21,9.37,AU,1707157006
172,mezhdurechenskiy,59.6,65.9333,-6.71,97,100,1.72,RU,1707157006
173,mogocha,53.7333,119.7667,-26.74,99,11,1.64,RU,1707157006
174,puerto ayacucho,5.6639,-67.6236,31.42,64,62,2.39,VE,1707157007
175,arkhipo-osipovka,44.37,38.52,7.58,88,100,10.51,RU,1707157007
176,port elizabeth,-33.918,25.5701,21.72,93,100,3.6,ZA,1707156741
177,yeniseysk,58.4497,92.1703,-5.03,93,100,3.13,RU,1707157007
178,tiksi,71.6872,128.8694,-32.88,98,68,1.03,RU,1707157008
179,pekanbaru,0.5333,101.45,25.18,100,20,0.0,ID,1707157008
180,abong mbang,3.9833,13.1833,26.03,27,2,1.34,CM,1707157008
181,talnakh,69.4865,88.3972,-21.91,91,96,2.22,RU,1707157008
182,kerema,-7.9631,145.7785,25.62,84,98,1.51,PG,1707157008
183,tosontsengel,48.7567,98.2839,-28.49,98,87,0.19,MN,1707157009
184,cabedelo,-6.9811,-34.8339,32.37,62,69,5.57,BR,1707157009
185,irymple,-34.25,142.1667,15.05,57,0,0.45,AU,1707157009
186,zhuanghe,39.7008,122.9911,-6.99,81,76,2.7,CN,1707157009
187,yambio,4.5721,28.3955,26.9,39,88,3.06,SS,1707157009
188,guntur,16.3,80.45,23.15,90,0,2.9,IN,1707157010
189,jurm,36.8648,70.8342,-4.24,65,91,2.42,AF,1707157010
190,sabang,5.8933,95.3214,28.12,73,92,4.7,ID,1707157010
191,gulf shores,30.246,-87.7008,12.38,73,100,5.14,US,1707157010
192,altai,46.3722,96.2583,-19.95,55,47,0.54,MN,1707156940
193,vilyuysk,63.7553,121.6247,-35.0,100,50,0.89,RU,1707157011
194,cranbrook,49.4999,-115.7688,-2.03,88,100,0.73,CA,1707156762
195,gargalianoi,37.0667,21.6333,13.53,79,29,4.61,GR,1707157011
